name,id,latitude,longitude,elevation
ARKADELPHIA,720394.0,34.1,-93.066,184.0
ARKANSAS INTL,723408.0,35.967,-89.95,253.0
BATESVILLE,723448.0,35.726,-91.647,463.0
BATESVILLE 8 WNW,722450.0,35.82,-91.781,456.0
BAXTER COUNTY AP,723439.0,36.369,-92.47,928.0
BENTONVILLE,723444.0,36.35,-94.217,1296.0
BLYTHEVILLE,723409.0,35.94,-89.831,256.0
BOONE COUNTY AP,723450.0,36.267,-93.157,1375.0
CLINTON,720401.0,35.6,-92.45,515.0
DE QUEEN SEVIER COUNTY AP,743312.0,34.047,-94.399,354.0
DRAKE FIELD,723445.0,36.01,-94.169,1250.0
FORT SMITH,723440.0,35.333,-94.363,449.0
GRIDER FIELD,723417.0,34.18,-91.934,207.0
HARRELL FIELD,723425.0,33.617,-92.767,131.0
HOT SPRINGS,723415.0,34.478,-93.096,535.0
JONESBORO,723407.0,35.831,-90.646,262.0
LITTLE ROCK AFB,723405.0,34.917,-92.15,312.0
LITTLE ROCK CLINTON,723403.0,34.727,-92.239,259.0
MARION COUNTY AP,723447.0,36.291,-92.59,719.0
MENA,720172.0,34.545,-94.203,1079.0
MONTCELO,720175.0,33.636,-91.756,289.0
MT IDA,723435.0,34.547,-93.578,702.0
NEWPORT,720377.0,35.633,-91.167,0.0
NORTH LITTLE ROCK,723400.0,34.835,-92.259,568.0
NORTHWEST ARKANSAS,723436.0,36.283,-94.3,1286.0
ROGERS,723449.0,36.372,-94.107,1352.0
RUSSELLVILLE,723429.0,35.258,-93.095,404.0
SEARCY,722188.0,35.212,-91.737,266.0
SMITH FIELD,723443.0,36.191,-94.491,1194.0
SOUTH ARKANSAS,723419.0,33.221,-92.814,253.0
STUTTGART,723416.0,34.6,-91.574,223.0
TEXARKANA,723418.0,33.454,-94.007,361.0
WALNUT RIDGE,723406.0,36.125,-90.924,272.0
WEST MEMPHIS,722054.0,35.135,-90.234,213.0
ALAMEDA,994033.0,37.772,-122.298,7.0
ALTURAS,725958.0,41.483,-120.567,4377.0
ARENA COVE,994044.0,38.915,-123.711,7.0
AUBURN,720267.0,38.955,-121.082,1532.0
BARSTOW-DAGGETT,723815.0,34.854,-116.786,1916.0
BEALE AFB,724837.0,39.133,-121.433,112.0
BICYCLE LAKE AAF,746110.0,35.283,-116.633,249.0
BIG BEAR,720165.0,34.264,-116.854,6749.0
BLUE CANYON,725845.0,39.277,-120.71,5276.0
BLUNTS REEF BUOY 46030,992650.0,40.423,-124.525,10.0
BLYTHE,747188.0,33.619,-114.714,394.0
BODEGA 6 WSW,745180.0,38.321,-123.075,62.0
BODEGA BAY BUOY 46013,992490.0,38.253,-123.303,0.0
BROWN FIELD,722904.0,32.572,-116.979,515.0
BUCHANAN FIELD,724950.0,37.992,-122.055,20.0
CALIFORNIA REDWOOD COAST,725945.0,40.978,-124.109,200.0
CAMARILLO,723926.0,34.217,-119.083,79.0
CAMP PENDLETON MCAS,722926.0,33.3,-117.35,75.0
CAMPO,747186.0,32.626,-116.468,2641.0
CATALINA,722920.0,33.405,-118.416,1601.0
CHINA LAKE,746120.0,35.688,-117.693,2231.0
CHINO,722899.0,33.975,-117.636,650.0
COLUMBIA,720615.0,38.033,-120.417,2119.0
CORONA,720333.0,33.898,-117.602,535.0
COSTA MESA WAYNE,722977.0,33.68,-117.866,56.0
CRESCENT CITY DEL NORTE,725946.0,41.78,-124.237,56.0
CRESCENT CITY HARBOR,994012.0,41.746,-124.184,16.0
DESERT RESORTS,747187.0,33.627,-116.159,-118.0
EASTERN SIERRA,724800.0,37.371,-118.358,4101.0
EDWARDS AFB,723810.0,34.9,-117.867,2310.0
EDWARDS AFB NORTH,723171.0,34.988,-117.865,2283.0
EEL RIVER BUOY 46022,992740.0,40.712,-124.529,0.0
EL CENTRO NAF,722810.0,32.817,-115.683,-43.0
EL TORO MCAS,722908.0,33.667,-117.733,384.0
ELKHORN SLOUGH RESERVE,997997.0,36.815,-121.738,10.0
FALLBROOK 5 NE,745020.0,33.439,-117.19,1142.0
FRESNO YOSEMITE,723890.0,36.78,-119.719,335.0
FULLERTON,722976.0,33.872,-117.979,95.0
GNOSS FIELD,720406.0,38.15,-122.55,3.0
HANFORD,723898.0,36.319,-119.629,249.0
HAYWARD,725850.0,37.654,-122.115,43.0
HOLLISTER,749179.0,36.9,-121.417,236.0
HOLLYWOOD BURBANK,722880.0,34.201,-118.358,774.0
IMPERIAL BEACH NOLF,722909.0,32.567,-117.117,23.0
IMPERIAL COUNTY AP,747185.0,32.834,-115.579,-59.0
LAKE TAHOE,725847.0,38.898,-119.995,6316.0
LANCASTER FOX,723816.0,34.741,-118.212,2339.0
LEMORE NAS,747020.0,36.333,-119.95,233.0
LINCOLN,720614.0,38.909,-121.351,121.0
LIVERMORE,724927.0,37.693,-121.814,394.0
LOMPOC,722895.0,34.667,-120.467,89.0
LONG BEACH,722970.0,33.812,-118.146,33.0
LOS ALAMITOS AAF,722975.0,33.79,-118.052,36.0
LOS ANGELES HAWTHORNE,722956.0,33.923,-118.334,62.0
LOS ANGELES INTL,722950.0,33.938,-118.389,98.0
LOS ANGELES USC,722874.0,34.024,-118.291,180.0
MADERA,745046.0,36.988,-120.111,253.0
MAMMOTH YOSEMITE,723894.0,37.633,-118.85,7129.0
MARCH AFB,722860.0,33.9,-117.25,1535.0
MCCLELLAN-PALOMAR,722927.0,33.128,-117.279,328.0
MEADOWS FIELD,723840.0,35.434,-119.054,489.0
MERCED,724815.0,37.285,-120.513,151.0
MERCED 23 WSW,745070.0,37.238,-120.882,79.0
MERCED CASTLE,724810.0,37.383,-120.567,190.0
MIRAMAR MCAS,722931.0,32.867,-117.133,476.0
MODESTO CITY,724926.0,37.624,-120.951,72.0
MONTEREY,724915.0,36.588,-121.845,164.0
MONTGOMERY-GIBBS,722903.0,32.816,-117.139,417.0
MOUNT SHASTA,725957.0,41.333,-122.333,3537.0
MOUNT WILSON,722890.0,34.232,-118.074,5705.0
MOUNTAIN VIEW MOFFETT,745090.0,37.417,-122.05,39.0
NAPA COUNTY AP,724955.0,38.21,-122.285,13.0
NEEDLES,723805.0,34.768,-114.619,889.0
NORTH ISLAND NAS,722906.0,32.7,-117.2,26.0
OAKLAND INTL,724930.0,37.744,-122.224,10.0
OCEANSIDE,722934.0,33.219,-117.349,30.0
ONTARIO,747040.0,34.056,-117.6,948.0
OROVILLE,745048.0,39.49,-121.618,190.0
OXNARD,723927.0,34.201,-119.207,36.0
PALM SPRINGS,722868.0,33.822,-116.504,410.0
PALMDALE,723820.0,34.629,-118.084,2523.0
PASO ROBLES,723965.0,35.67,-120.628,810.0
POINT ARENA,994120.0,38.955,-123.741,56.0
POINT ARGUELLO,994210.0,34.577,-120.647,105.0
POINT MUGU NAS,723910.0,34.117,-119.117,13.0
POINT PIEDRAS BLANCAS,723900.0,35.666,-121.285,69.0
PORT CHICAGO,994034.0,38.056,-122.039,7.0
PORTERVILLE,723895.0,36.029,-119.063,443.0
PT ARENA BUOY 46014,992500.0,39.231,-123.974,0.0
RAMONA,745056.0,33.038,-116.916,1394.0
RED BLUFF,725910.0,40.152,-122.254,354.0
REDDING,725920.0,40.518,-122.299,499.0
REDDING 12 WNW,744970.0,40.651,-122.607,1417.0
REDWOOD CITY,994041.0,37.507,-122.212,20.0
RICHMOND,994036.0,37.923,-122.41,20.0
RIVERSIDE,722869.0,33.952,-117.439,804.0
SACRAMENTO EXECUTIVE,724830.0,38.507,-121.495,16.0
SACRAMENTO INTL,724839.0,38.696,-121.59,23.0
SACRAMENTO MATHER,724833.0,38.567,-121.3,98.0
SACRAMENTO MCCLELLAN,724836.0,38.667,-121.4,79.0
SALINAS,725930.0,36.664,-121.608,75.0
SAN BERNARDINO,722866.0,34.095,-117.235,1158.0
SAN CLEMENTE BASIN BUOY 46086,997206.0,32.499,-118.052,10.0
SAN DIEGO INTL,722900.0,32.734,-117.183,16.0
SAN FRANCISCO BAY RESERVE,998011.0,38.2,-122.026,10.0
SAN FRANCISCO BUOY 46026,992640.0,37.754,-122.839,0.0
SAN FRANCISCO HARBOR,994016.0,37.806,-122.466,7.0
SAN FRANCISCO INTL,724940.0,37.62,-122.365,7.0
SAN JOSE INTL,724945.0,37.359,-121.924,52.0
SAN LUIS OBISPO,722897.0,35.237,-120.641,200.0
SANDBERG,723830.0,34.744,-118.724,4511.0
SANTA BARBARA,723925.0,34.426,-119.843,10.0
SANTA BARBARA 11 W,745050.0,34.414,-119.88,20.0
SANTA BARBARA BUOY 46053,996400.0,34.252,-119.853,0.0
SANTA BARBARA BUOY 46054,996470.0,34.265,-120.477,0.0
SANTA MARIA,723940.0,34.899,-120.449,243.0
SANTA MARIA BUOY 46011,992960.0,34.956,-121.019,0.0
SANTA MONICA,722885.0,34.016,-118.451,174.0
SANTA MONICA BASIN BUOY 46025,992600.0,33.763,-119.053,0.0
SANTA YNEZ,723762.0,34.607,-120.076,673.0
SISKIYOU COUNTY AP,725955.0,41.781,-122.468,2651.0
SONOMA COUNTY AP,724957.0,38.504,-122.81,115.0
SOUTH SANTA ROSA ISLAND,997199.0,33.677,-120.213,10.0
SOUTHERN CALIFORNIA,723825.0,34.583,-117.383,2884.0
STOCKTON,724920.0,37.889,-121.226,26.0
STOVEPIPE WELLS 1 SW,746130.0,36.602,-117.145,85.0
TEHACHAPI,749171.0,35.135,-118.439,4003.0
TRAVIS AFB,745160.0,38.267,-121.933,62.0
TRUCKEE-TAHOE,725846.0,39.32,-120.139,5899.0
TUSTIN MCAF,722915.0,33.7,-117.833,56.0
TWENTY NINE PALMS,690150.0,34.3,-116.167,2051.0
UKIAH,725905.0,39.126,-123.201,600.0
VACAVILLE NUT TREE,724828.0,38.378,-121.958,108.0
VAN NUYS,722886.0,34.21,-118.489,771.0
VANDENBERG AFB,723930.0,34.717,-120.567,371.0
VISALIA,723896.0,36.317,-119.4,295.0
WATSONVILLE,745058.0,36.936,-121.789,161.0
WOODLEY ISLAND,725940.0,40.81,-124.16,20.0
YOSEMITE VILLAGE 12 W,745030.0,37.759,-119.821,6621.0
YUBA COUNTY AP,724838.0,39.102,-121.568,62.0
ASPEN PITKIN COUNTY AP,724676.0,39.23,-106.871,7720.0
BOULDER,720533.0,40.033,-105.217,5289.0
BOULDER 14 W,745200.0,40.035,-105.541,9829.0
BUCKLEY AFB,724695.0,39.717,-104.75,5663.0
BUTTS AAF,724680.0,38.678,-104.757,5837.0
CENTENNIAL,724666.0,39.57,-104.849,5883.0
COLORADO PLAINS,724698.0,40.167,-103.217,4662.0
COLORADO SPRINGS,724660.0,38.81,-104.688,6181.0
COPPER MOUNTAIN,722061.0,39.475,-106.152,12073.0
CORTEZ,724767.0,37.307,-108.626,5909.0
CORTEZ 8 SE,745230.0,37.255,-108.504,8035.0
COTTONWOOD PASS,726391.0,38.782,-106.218,9826.0
CRAIG-MOFFAT,725700.0,40.493,-107.524,6191.0
DENVER INTL,725650.0,39.833,-104.658,5413.0
DENVER STAPLETON,724690.0,39.767,-104.869,5289.0
DINOSAUR 2 E,745190.0,40.245,-108.968,6063.0
DURANGO-LA PLATA COUNTY AP,724625.0,37.143,-107.76,6670.0
EAGLE COUNTY REGIONAL,724675.0,39.65,-106.917,6496.0
ELBERT MONUMENT,722155.0,39.217,-104.633,7060.0
FORT COLLINS,724697.0,40.588,-105.042,4938.0
GRAND JUNCTION,724760.0,39.12,-108.525,4833.0
GREELEY-WELD COUNTY AP,724768.0,40.436,-104.632,4698.0
GUNNISON-CRESTED BUTTE,724677.0,38.533,-106.933,7667.0
